Probe Set ID,Arabidopsis Gene ID,Gene Description
246580_at,AT1G31770,ABC transporter family protein; Identical to White-brown complex homolog protein 14 (WBC14) [Arabidopsis Thaliana] (GB:Q
246584_at,AT5G14730,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G01513.1); similar to conserved hypothetical protein [Medicag
246682_at,AT5G33290,"XGD1 (XYLOGALACTURONAN DEFICIENT 1); catalytic; similar to catalytic/ transferase, transferring glycosyl groups [Arabido"
246962_s_at,AT5G24800,"Encodes bZIP protein BZO2H2., Encodes bZIP protein BZO2H2."
246993_at,AT5G67450,"Encodes zinc-finger protein. mRNA levels are elevated in response to low temperature, cold temperatures and high salt. T"
246999_at,AT5G67440,phototropic-responsive NPH3 family protein; similar to phototropic-responsive NPH3 family protein [Arabidopsis thaliana]
247026_at,AT5G67080,"member of MEKK subfamily, member of MEKK subfamily"
247145_at,AT5G65600,"legume lectin family protein / protein kinase family protein; similar to lectin protein kinase, putative [Arabidopsis th"
247151_at,AT5G65640,BHLH093 (BETA HLH PROTEIN 93); DNA binding / transcription factor; similar to basic helix-loop-helix (bHLH) family prote
247162_at,AT5G65730,"xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase,"
247314_at,AT5G64000,"3'(2'),5'-bisphosphate nucleotidase"
247529_at,AT5G61520,"hexose transporter, putative; Identical to Sugar transport protein 3 (Hexose transporter 3) (STP3) [Arabidopsis Thaliana"
247532_at,AT5G61560,protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT4G25160.1); simil
247679_at,AT5G59540,"oxidoreductase, 2OG-Fe(II) oxygenase family protein; similar to 2-oxoglutarate-dependent dioxygenase, putative [Arabidop"
247685_at,AT5G59680,"leucine-rich repeat protein kinase, putative; similar to leucine-rich repeat protein kinase, putative [Arabidopsis thali"
247772_at,AT5G58610,"PHD finger transcription factor, putative; similar to DNA binding [Arabidopsis thaliana] (TAIR:AT1G05380.1); similar to"
247922_at,AT5G57500,"transferase, transferring glycosyl groups; similar to galactosyltransferase family protein [Arabidopsis thaliana] (TAIR:"
247948_at,AT5G57130,protein binding; similar to heat shock protein-related [Arabidopsis thaliana] (TAIR:AT4G29920.1); similar to conserved h
247949_at,AT5G57220,"member of CYP81F, member of CYP81F"
248003_at,AT5G56220,nucleoside-triphosphatase/ nucleotide binding / transmembrane receptor; similar to transmembrane receptor [Arabidopsis t
248186_at,AT5G53880,unknown protein
248292_at,AT5G53030,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G27810.1)
248335_at,AT5G52450,MATE efflux protein-related; similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT2G34360.1); similar to
248353_at,AT5G52320,"member of CYP96A, member of CYP96A"
248358_at,AT5G52400,"member of CYP715A, member of CYP715A"
248563_at,AT5G49690,UDP-glucoronosyl/UDP-glucosyl transferase family protein; similar to UDP-glucoronosyl/UDP-glucosyl transferase family pr
248675_at,AT5G48820,"Kip-related protein (KRP) gene, encodes CDK (cyclin-dependent kinase) inhibitor (CKI), negative regulator of cell divisi"
248683_at,AT5G48490,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein; similar to DIR1 (DEFECTIVE IN INDUCED RESIS
248684_at,AT5G48485,encodes a putative apoplastic lipid transfer protein that is involved in systemic acquired resistance. Mutants in this g
248703_at,AT5G48430,"similar to extracellular dermal glycoprotein, putative / EDGP, putative [Arabidopsis thaliana] (TAIR:AT1G03220.1); simil"
249005_at,AT5G44630,Encodes a sesquiterpene synthase involved in generating all of the group B sesquiterpenes found in the Arabidopsis flora
249012_at,AT5G44620,"member of CYP706A, member of CYP706A"
249139_at,AT5G43170,Encodes zinc finger protein.  mRNA levels are elevated in response to high salinity and low temperature. The protein is
249231_at,AT5G42030,ABIL4 (ABL INTERACTOR-LIKE PROTEIN 4); Identical to Protein ABIL4 (Abl interactor-like protein 4) (AtABIL4) (ABIL4) [Ara
249332_at,AT5G40980,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G01940.1); similar to hypothetical protein [Oryza sativa (jap
249481_at,AT5G38900,DSBA oxidoreductase family protein; similar to DSBA oxidoreductase [Medicago truncatula] (GB:ABE87781.1); contains Inter
249486_at,AT5G39030,protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT5G39020.1); simil
249553_at,AT5G38260,"serine/threonine protein kinase, putative; similar to kinase [Arabidopsis thaliana] (TAIR:AT1G67000.1); similar to serin"
249581_at,AT5G37600,"encodes a cytosolic glutamine synthetase, the enzyme has high affinity with substrate ammonium, encodes a cytosolic glut"
249688_at,AT5G36160,"aminotransferase-related; similar to aminotransferase, putative [Arabidopsis thaliana] (TAIR:AT5G53970.1); similar to Os"
249794_at,AT5G23530,similar to ATGID1C/GID1C (GA INSENSITIVE DWARF1C) [Arabidopsis thaliana] (TAIR:AT5G27320.1); similar to Esterase/lipase/
249894_at,AT5G22580,Identical to Protein At5g22580 [Arabidopsis Thaliana] (GB:Q9FK81); similar to stable protein 1-related [Arabidopsis thal
249917_at,AT5G22460,"esterase/lipase/thioesterase family protein; similar to hydrolase, alpha/beta fold family protein [Arabidopsis thaliana]"
249932_at,AT5G22390,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G19260.1); similar to hypothetical protein [Oryza sativa (jap
249942_at,AT5G22300,"encodes a nitrilase isomer. The purified enzyme shows a strong substrate specificity for beta-cyano-L-alanine, a interme"
250070_at,AT5G17980,C2 domain-containing protein; similar to C2 domain-containing protein [Arabidopsis thaliana] (TAIR:AT3G03680.1); similar
250132_at,AT5G16560,Encodes a KANADI protein (KAN) that regulates organ polarity in Arabidopsis. KAN is required for abaxial identity in bot
250252_at,AT5G13750,ZIFL1 (ZINC INDUCED FACILITATOR-LIKE 1); tetracycline:hydrogen antiporter/ transporter; similar to ZIF1 (ZINC INDUCED FA
250261_at,AT5G13400,proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) f
250323_at,AT5G12880,proline-rich family protein
250443_at,AT5G10520,"protein kinase family protein; similar to protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G65530.1); similar to"
250481_at,AT5G10310,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G37810.1); similar to 80A08_28 [Brassica rapa subsp. pekinens
250483_at,AT5G10300,"hydrolase, alpha/beta fold family protein; similar to esterase, putative [Arabidopsis thaliana] (TAIR:AT2G23620.1); simi"
250565_at,AT5G08000,"glycosyl hydrolase family protein 17; Identical to Glucan endo-1,3-beta-glucosidase-like protein 3 precursor [Arabidopsi"
250689_at,AT5G06610,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G27690.1); similar to Lipase, putative, expressed [Oryza sati"
250738_at,AT5G05730,"ASA1 encodes the alpha subunit of anthranilate synthase, which catalyzes the rate-limiting step of tryptophan synthesis."
250820_at,AT5G05160,"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase,"
250918_at,AT5G03610,GDSL-motif lipase/hydrolase family protein; similar to GDSL-motif lipase/hydrolase family protein [Arabidopsis thaliana]
250982_at,AT5G03150,zinc finger (C2H2 type) family protein; similar to zinc finger (C2H2 type) family protein [Arabidopsis thaliana] (TAIR:A
251162_at,AT3G63300,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G22810.1); similar to Protein of unknown function DUF828, pla"
251169_at,AT3G63210,"encodes a novel zinc-finger protein with a  proline-rich N-terminus, identical to senescence-associated protein SAG102"
251176_at,AT3G63380,"calcium-transporting ATPase, plasma membrane-type, putative / Ca(2+)-ATPase, putative (ACA12); Identical to Putative cal"
251190_at,AT3G62690,Encodes a RING-H2 zinc finger protein related to ATL2. The ATL gene family is represented by fifteen sequences that cont
251197_at,AT3G62960,glutaredoxin family protein; Identical to Glutaredoxin-C14 (AtGrxC14) (GRXC14) [Arabidopsis Thaliana] (GB:Q9LYC5); simil
251248_at,AT3G62150,"PGP21 (P-GLYCOPROTEIN 21); ATPase, coupled to transmembrane movement of substances; Identical to Multidrug resistance pr"
251287_at,AT3G61820,aspartyl protease family protein; similar to aspartyl protease family protein [Arabidopsis thaliana] (TAIR:AT1G01300.1);
251322_at,AT3G61440,Encodes a cysteine synthase isomer AtcysC1. The isomer is however less effective in cysteine biosynthesis. It is involve
251503_at,AT3G59140,"member of MRP subfamily, member of MRP subfamily"
251643_at,AT3G57550,guanylate kinase
251689_at,AT3G56500,serine-rich protein-related; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24577.1); similar to Os03g03222
251847_at,AT3G54640,"Catalyzes the conversion of indole-3-glycerolphosphate to indole, the penultimate reaction in the biosynthesis of trypto"
251896_at,AT3G54390,"transcription factor; similar to transcription factor [Arabidopsis thaliana] (TAIR:AT5G05550.2); similar to Myb, DNA-bin"
252045_at,AT3G52450,U-box domain-containing protein; similar to U-box domain-containing protein [Arabidopsis thaliana] (TAIR:AT2G35930.1); s
252047_at,AT3G52490,heat shock protein-related; similar to heat shock protein-related [Arabidopsis thaliana] (TAIR:AT4G29920.1); similar to
252048_at,AT3G52500,aspartyl protease family protein; similar to aspartyl protease family protein [Arabidopsis thaliana] (TAIR:AT4G16563.1);
252265_at,AT3G49620,"encodes a protein similar to 2-oxoacid-dependent dioxygenase. Expression is induced after 24 hours of dark treatment, in"
252303_at,AT3G49210,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G49200.1); similar to condensation domain-containing protein
252315_at,AT3G48690,"Encodes a protein with carboxylesterase whose activity was tested using both pNA and 2,4-D-methyl."
252851_at,AT4G40080,epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related; Identical to Putative cl
252977_at,AT4G38560,similar to pEARLI4 [Arabidopsis thaliana] (TAIR:AT2G20960.1); similar to pEARLI 4 gene product (GB:AAC37472.1); contains
253181_at,AT4G35180,LHT7 (LYS/HIS TRANSPORTER 7); amino acid permease; similar to amino acid transporter family protein [Arabidopsis thalian
253278_at,AT4G34220,"leucine-rich repeat transmembrane protein kinase, putative; Identical to Receptor protein kinase-like protein At4g34220"
253309_at,AT4G33790,"acyl CoA reductase, putative; similar to acyl CoA reductase, putative / male-sterility protein, putative [Arabidopsis th"
253412_at,AT4G33000,"Encodes a member of the calcineurin B-like calcium sensor gene family., Encodes a member of the calcineurin B-like calci"
253476_at,AT4G32300,lectin protein kinase family protein; similar to carbohydrate binding / kinase [Arabidopsis thaliana] (TAIR:AT5G35370.1)
253559_at,AT4G31140,"glycosyl hydrolase family 17 protein; Identical to Putative glucan endo-1,3-beta-glucosidase 5 precursor (EC 3.2.1.39) ("
253573_at,AT4G31020,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G24320.1); similar to Esterase/lipase/thioesterase [Medicago
253696_at,AT4G29740,"It encodes a protein whose sequence is similar to cytokinin oxidase/dehydrogenase, which catalyzes the degradation of cy"
253819_at,AT4G28350,"lectin protein kinase family protein; similar to lectin protein kinase, putative [Arabidopsis thaliana] (TAIR:AT4G04960."
253911_at,AT4G27300,"S-locus protein kinase, putative; similar to ARK1 (A. THALIANA RECEPTOR KINASE I), kinase [Arabidopsis thaliana] (TAIR:A"
253954_at,AT4G26970,"aconitate hydratase, cytoplasmic, putative / citrate hydro-lyase/aconitase, putative; Identical to Aconitate hydratase 3"
254024_at,AT4G25780,"pathogenesis-related protein, putative; similar to allergen V5/Tpx-1-related family protein [Arabidopsis thaliana] (TAIR"
254040_at,AT4G25900,aldose 1-epimerase family protein; similar to aldose 1-epimerase family protein [Arabidopsis thaliana] (TAIR:AT5G57330.1
254041_at,AT4G25830,integral membrane family protein; similar to integral membrane family protein [Arabidopsis thaliana] (TAIR:AT2G35760.1);
254060_at,AT4G25350,SHB1 encodes a nuclear and cytosolic protein that has motifs  homologous with SYG1 protein family members. Acts in crypt
254125_at,AT4G24670,alliinase family protein; similar to alliinase family protein [Arabidopsis thaliana] (TAIR:AT1G23320.1); similar to Alli
254132_at,AT4G24660,"ATHB22/MEE68 (ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 22, maternal effect embryo arrest 68); DNA binding / transcription f"
254159_at,AT4G24240,"Encodes a Ca-dependent calmodulin binding protein. Sequence similarity to the WRKY transcription factor gene family., En"
254174_at,AT4G24120,Member of a small family of oligopeptide transporters similar to the yellow stripe locus of maize (ZmYS1).
254207_at,AT4G24060,Dof-type zinc finger domain-containing protein; Identical to Dof zinc finger protein DOF4.6 (AtDOF4.6) (DOF4.6) [Arabido
254292_at,AT4G23030,"MATE efflux protein-related; similar to ZF14, transporter [Arabidopsis thaliana] (TAIR:AT1G58340.1); similar to Multi an"
254384_at,AT4G21870,26.5 kDa class P-related heat shock protein (HSP26.5-P); similar to HSP18.2 (HEAT SHOCK PROTEIN 18.2) [Arabidopsis thali
254409_at,AT4G21400,protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT4G21410.1); simil
254410_at,AT4G21410,protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT4G21400.1); simil
254453_at,AT4G21120,cationic amino acid transporter
254487_at,AT4G20780,"calcium-binding protein, putative; similar to calcium-binding protein, putative [Arabidopsis thaliana] (TAIR:AT5G44460.1"
254524_at,AT4G20000,VQ motif-containing protein; similar to VQ motif-containing protein [Arabidopsis thaliana] (TAIR:AT4G15120.1); contains
254571_at,AT4G19370,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G31720.1); similar to Os06g0114700 [Oryza sativa (japonica cu
254673_at,AT4G18430,"AtRABA1e (Arabidopsis Rab GTPase homolog A1e); GTP binding; similar to AtRABA1f (Arabidopsis Rab GTPase homolog A1f), GT"
254719_at,AT4G13600,glycosyl hydrolase family protein 17; similar to glycosyl hydrolase family protein 17 [Arabidopsis thaliana] (TAIR:AT5G6
254971_at,AT4G10380,Essential for efficient Boron  uptake and plant development under boron limitation
254996_at,AT4G10390,protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT1G33260.1); simil
255110_at,AT4G08770,"peroxidase, putative; Identical to Peroxidase 37 precursor (EC 1.11.1.7) (Atperox P37) (ATP38) (PER37) [Arabidopsis Thal"
255149_at,AT4G08150,A member of class I knotted1-like homeobox gene family (together with KNAT2). Similar to the knotted1 (kn1) homeobox gen
255521_at,AT4G02280,Encodes a protein with sucrose synthase activity (SUS3).
255709_at,AT4G00180,"YABBY gene family member, likely has transcription factor activity, involved in specifying abaxial cell fate. Along with"
255726_at,AT1G25530,"lysine and histidine specific transporter, putative; similar to LHT1 (LYSINE HISTIDINE TRANSPORTER 1), amino acid permea"
255856_at,AT1G66940,protein kinase-related; similar to kinase [Arabidopsis thaliana] (TAIR:AT1G67000.1); similar to Protein kinase [Medicago
255893_at,AT1G17960,"threonyl-tRNA synthetase, putative / threonine--tRNA ligase, putative; Identical to Probable threonyl-tRNA synthetase, c"
255942_at,AT1G22360,UDP-glucoronosyl/UDP-glucosyl transferase family protein; similar to UDP-glucoronosyl/UDP-glucosyl transferase family pr
256069_at,AT1G13740,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G69260.1); similar to Os07g0602900 [Oryza sativa (japonica cu
256168_at,AT1G51805,"leucine-rich repeat protein kinase, putative; similar to leucine-rich repeat protein kinase, putative [Arabidopsis thali"
256293_at,AT1G69440,"Encodes ARGONAUTE7, a member of the ARGONAUTE family, characterised by the presence of PAZ and PIWI domains. Involved in"
256304_at,AT1G69523,UbiE/COQ5 methyltransferase family protein; similar to methyltransferase [Arabidopsis thaliana] (TAIR:AT1G69526.2); simi
256731_at,AT3G30340,nodulin MtN21 family protein; similar to nodulin MtN21 family protein [Arabidopsis thaliana] (TAIR:AT4G01440.1); similar
256787_at,AT3G13790,Encodes a protein with invertase activity.
256926_at,AT3G22540,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14819.1); similar to hypothetical protein MtrDRAFT_AC135320g
256969_at,AT3G21080,ABC transporter-related; similar to ABC transporter family protein [Arabidopsis thaliana] (TAIR:AT3G21090.1); similar to
256991_at,AT3G28600,ATP binding / ATPase; similar to ATP binding / ATPase [Arabidopsis thaliana] (TAIR:AT3G28610.1); similar to AAA-type ATP
257066_at,AT3G18280,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein; similar to protease inhibitor/seed storage/
257136_at,AT3G12890,"Encodes a protein belonging to a class of CCT (CONSTANS, CONSTANS-like, TOC1) domain proteins. The protein contains a 43"
257264_at,AT3G22060,contains Pfam profile: PF01657 Domain of unknown function that is usually associated with protein kinase domain Pfam:PF0
257373_at,AT2G43140,DNA binding / transcription factor; similar to basic helix-loop-helix (bHLH) family protein [Arabidopsis thaliana] (TAIR
257401_at,AT1G23550,Encodes a protein with similarity to RCD1 but without the WWE domain. The protein does have a PARP signature upstream of
257517_at,AT3G16330,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G52140.1); similar to Avr9/Cf-9 rapidly elicited protein 146
257600_at,AT3G24770,"Belongs to a large gene family, called CLE for CLAVATA3/ESR-related, encoding small peptides with conserved carboxyl ter"
257623_at,AT3G26210,"putative cytochrome P450, putative cytochrome P450"
257636_at,AT3G26200,"putative cytochrome P450, putative cytochrome P450"
257774_at,AT3G29250,oxidoreductase; similar to short-chain dehydrogenase/reductase (SDR) family protein [Arabidopsis thaliana] (TAIR:AT3G292
257917_at,AT3G23220,encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein
257939_at,AT3G19930,Encodes a sucrose hydrogen symporter that is induced by wounding.
257959_at,AT3G25560,NIK2 (NSP-INTERACTING KINASE 2); protein kinase; similar to leucine-rich repeat family protein / protein kinase family p
257964_at,AT3G19850,phototropic-responsive NPH3 family protein; similar to phototropic-responsive NPH3 family protein [Arabidopsis thaliana]
258054_at,AT3G16240,"Delta tonoplast intrinsic protein, functions as a water channel and ammonium (NH3) transporter. Highly expressed in flow"
258179_at,AT3G21690,MATE efflux family protein; similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT1G11670.1); similar to
258201_at,AT3G13910,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G19460.1); similar to hypothetical protein MtrDRAFT_AC152551g
258277_at,AT3G26830,Mutations in pad3 are defective in biosynthesis of the indole derived phytoalexin camalexin. Encodes a cytochrome P450 e
258332_at,AT3G16180,proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) f
258366_at,AT3G14230,encodes a member of the ERF (ethylene response factor) subfamily B-2 of ERF/AP2 transcription factor family (RAP2.2). Th
258511_at,AT3G06590,transcription factor; similar to transcription factor [Arabidopsis thaliana] (TAIR:AT3G17100.2); similar to Helix-loop-h
258537_at,AT3G04210,"disease resistance protein (TIR-NBS class), putative; similar to disease resistance protein (TIR-NBS-LRR class), putativ"
258566_at,AT3G04110,putative glutamate receptor (GLR1)
258609_at,AT3G02910,Identical to UPF0131 protein At3g02910 [Arabidopsis Thaliana] (GB:Q9M8T3); similar to unknown protein [Arabidopsis thali
258797_at,AT3G04730,"early auxin-induced (IAA16), early auxin-induced (IAA16)"
259076_at,AT3G02140,TMAC2 (TWO OR MORE ABRES-CONTAINING GENE 2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G29575.4); simil
259103_at,AT3G11690,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06380.1); similar to pollen preferential protein [Lilium lon
259297_at,AT3G05360,disease resistance family protein / LRR family protein; similar to disease resistance family protein / LRR family protei
259434_at,AT1G01490,heavy-metal-associated domain-containing protein; similar to heavy-metal-associated domain-containing protein [Arabidops
259445_at,AT1G02400,Encodes a gibberellin 2-oxidase.
259507_at,AT1G43910,AAA-type ATPase family protein; similar to AAA-type ATPase family protein [Arabidopsis thaliana] (TAIR:AT3G50930.1); sim
259721_at,AT1G60890,phosphatidylinositol-4-phosphate 5-kinase family protein; Identical to Phosphatidylinositol-4-phosphate 5-kinase 8 (EC 2
259839_at,AT1G52190,proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) f
259952_at,AT1G71400,disease resistance family protein / LRR family protein; similar to disease resistance family protein / LRR family protei
259971_at,AT1G76580,transcription factor; Identical to Squamosa promoter-binding-like protein 16 (SPL1-related protein 3) (SPL16) [Arabidops
259980_at,AT1G76520,auxin efflux carrier family protein; similar to auxin efflux carrier family protein [Arabidopsis thaliana] (TAIR:AT1G765
260143_at,AT1G71880,Sucrose transporter gene induced in response to nematodes; member of Sucrose-proton symporter family.
260170_at,AT1G71890,Encodes a sucrose transporter that is expressed in the endosperm. Mutants have delayed accumulation of fatty acids and e
260220_at,AT1G74650,Member of the R2R3 factor gene family.
260367_at,AT1G69760,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G26920.1); similar to hypothetical protein [Ricinus communis]
260394_at,AT1G74080,"Encodes a putative transcription factor, member of the R2R3 factor gene family (MYB122)., Encodes a putative transcripti"
260395_at,AT1G69780,"Encodes a homeodomain leucine zipper class I (HD-Zip I) protein., Encodes a homeodomain leucine zipper class I (HD-Zip I"
260406_at,AT1G69920,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
260419_at,AT1G69730,protein kinase family protein; Identical to Putative wall-associated receptor kinase-like 9 precursor (EC 2.7.11.-) (WAK
260472_at,AT1G10990,unknown protein
260592_at,AT1G55850,"encodes a protein similar to cellulose synthase, encodes a protein similar to cellulose synthase"
260637_at,AT1G62380,Encodes a protein similar to 1-aminocyclopropane-1-carboxylic oxidase (ACC oxidase). Expression of the AtACO2 transcript
260778_at,AT1G14640,SWAP (Suppressor-of-White-APricot)/surp domain-containing protein; similar to SWAP (Suppressor-of-White-APricot)/surp do
260831_at,AT1G06830,glutaredoxin family protein; Identical to Monothiol glutaredoxin-S11 (AtGrxS11) (GRXS11) [Arabidopsis Thaliana] (GB:Q9M9
260841_at,AT1G29195,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G30230.1); similar to unknown protein [Oryza sativa (japonica
261005_at,AT1G26420,FAD-binding domain-containing protein; similar to FAD-binding domain-containing protein [Arabidopsis thaliana] (TAIR:AT1
261021_at,AT1G26380,FAD-binding domain-containing protein; similar to FAD-binding domain-containing protein [Arabidopsis thaliana] (TAIR:AT1
261023_at,AT1G12200,flavin-containing monooxygenase family protein / FMO family protein; similar to flavin-containing monooxygenase family p
261027_at,AT1G01340,member of Cyclic nucleotide gated channel family
261075_at,AT1G07280,binding; similar to binding [Arabidopsis thaliana] (TAIR:AT2G29670.1); similar to Os05g0447700 [Oryza sativa (japonica c
261076_at,AT1G07420,"Arabidopsis thaliana sterol 4-alpha-methyl-oxidase mRNA, Arabidopsis thaliana sterol 4-alpha-methyl-oxidase mRNA"
261114_at,AT1G75390,"bZIP transcription factor family protein; similar to GBF6 (G-box binding factor 6), DNA binding / transcription factor ["
261216_at,AT1G33030,O-methyltransferase family 2 protein; similar to ATOMT1 (O-METHYLTRANSFERASE 1) [Arabidopsis thaliana] (TAIR:AT5G54160.1
261224_at,AT1G20160,subtilase family protein; similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT1G20150.1); similar to subt
261261_at,AT1G26730,EXS family protein / ERD1/XPR1/SYG1 family protein; similar to SHB1 (SHORT HYPOCOTYL UNDER BLUE1) [Arabidopsis thaliana]
261278_at,AT1G05800,lipase class 3 family protein; similar to lipase class 3 family protein [Arabidopsis thaliana] (TAIR:AT2G31690.1); simil
261323_at,AT1G44760,universal stress protein (USP) family protein; similar to universal stress protein (USP) family protein [Arabidopsis tha
261367_at,AT1G53080,legume lectin family protein; similar to legume lectin family protein [Arabidopsis thaliana] (TAIR:AT5G03350.1); similar
261368_at,AT1G53070,legume lectin family protein; similar to legume lectin family protein [Arabidopsis thaliana] (TAIR:AT1G53080.1); similar
261394_at,AT1G79680,"wall-associated kinase, putative; Identical to Wall-associated receptor kinase-like 10 precursor (EC 2.7.11.-) (WAKL10)"
261459_at,AT1G21100,"O-methyltransferase, putative; similar to O-methyltransferase, putative [Arabidopsis thaliana] (TAIR:AT1G21120.1); simil"
261526_at,AT1G14370,Encodes protein kinase APK2a.
261563_at,AT1G01630,"SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative; similar to SEC14 cytosolic factor family"
261570_at,AT1G01120,Encodes a condensing enzyme (3-ketoacyl-CoA synthase) which is involved in the critical fatty acid elongation process in
261618_at,AT1G33110,MATE efflux family protein; similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT1G33080.1); similar to
261642_at,AT1G27680,"ADP-glucose pyrophosphorylase catalyzes the first, rate limiting step in starch biosynthesis. The large subunit plays a"
261832_at,AT1G10650,protein binding / zinc ion binding; similar to protein binding / zinc ion binding [Arabidopsis thaliana] (TAIR:AT1G60610
261916_at,AT1G65910,ANAC028 (Arabidopsis NAC domain containing protein 28); transcription factor; similar to ANAC086 (Arabidopsis NAC domain
261921_at,AT1G65900,similar to Putative reverse transcriptase [Oryza sativa (japonica cultivar-group)] (GB:AAO15295.1); contains domain Heli
261934_at,AT1G22400,"UGT85A1 (UDP-glucosyl transferase 85A1); UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferas"
261935_at,AT1G22610,C2 domain-containing protein; similar to C2 domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G51570.1); similar
